   Electricity_Consumption,Date
17328,1/1/2002
19241,1/2/2002
19040,1/3/2002
18527,1/4/2002
16760,1/5/2002
16827,1/6/2002
19183,1/7/2002
19024,1/8/2002
18868,1/9/2002
18047,1/10/2002
17776,1/11/2002
16356,1/12/2002
17052,1/13/2002
18709,1/14/2002
18724,1/15/2002
18564,1/16/2002
18492,1/17/2002
18155,1/18/2002
17536,1/19/2002
16547,1/20/2002
18840,1/21/2002
18249,1/22/2002
18081,1/23/2002
18005,1/24/2002
17297,1/25/2002
15520,1/26/2002
15372,1/27/2002
17486,1/28/2002
17285,1/29/2002
17973,1/30/2002
18913,1/31/2002
17792,2/1/2002
16591,2/2/2002
16399,2/3/2002
18102,2/4/2002
18906,2/5/2002
18180,2/6/2002
17781,2/7/2002
16693,2/8/2002
15578,2/9/2002
16432,2/10/2002
18650,2/11/2002
18340,2/12/2002
18087,2/13/2002
17751,2/14/2002
17045,2/15/2002
14641,2/16/2002
15653,2/17/2002
16545,2/18/2002
16687,2/19/2002
16752,2/20/2002
16217,2/21/2002
16144,2/22/2002
14456,2/23/2002
14598,2/24/2002
16754,2/25/2002
16114,2/26/2002
17420,2/27/2002
17033,2/28/2002
15893,3/1/2002
14707,3/2/2002
14542,3/3/2002
17034,3/4/2002
17279,3/5/2002
16376,3/6/2002
15963,3/7/2002
15808,3/8/2002
13500,3/9/2002
14422,3/10/2002
16513,3/11/2002
16862,3/12/2002
16967,3/13/2002
15068,3/14/2002
15831,3/15/2002
14022,3/16/2002
14318,3/17/2002
17505,3/18/2002
16890,3/19/2002
17580,3/20/2002
15461,3/21/2002
16518,3/22/2002
14249,3/23/2002
14042,3/24/2002
16495,3/25/2002
17724,3/26/2002
15985,3/27/2002
14951,3/28/2002
14198,3/29/2002
13233,3/30/2002
11980,3/31/2002
15419,4/1/2002
15311,4/2/2002
16169,4/3/2002
15160,4/4/2002
15155,4/5/2002
13567,4/6/2002
12867,4/7/2002
15366,4/8/2002
15051,4/9/2002
14477,4/10/2002
14274,4/11/2002
14130,4/12/2002
12841,4/13/2002
12363,4/14/2002
14727,4/15/2002
16016,4/16/2002
18017,4/17/2002
16714,4/18/2002
15400,4/19/2002
12689,4/20/2002
12387,4/21/2002
16090,4/22/2002
15180,4/23/2002
14328,4/24/2002
15734,4/25/2002
14286,4/26/2002
12176,4/27/2002
14025,4/28/2002
15790,4/29/2002
15167,4/30/2002
14453,5/1/2002
15816,5/2/2002
14037,5/3/2002
12354,5/4/2002
12315,5/5/2002
15235,5/6/2002
15679,5/7/2002
14846,5/8/2002
15133,5/9/2002
14686,5/10/2002
12372,5/11/2002
13024,5/12/2002
16551,5/13/2002
15025,5/14/2002
14838,5/15/2002
15274,5/16/2002
14713,5/17/2002
13405,5/18/2002
12362,5/19/2002
14824,5/20/2002
14854,5/21/2002
14855,5/22/2002
15338,5/23/2002
15763,5/24/2002
12397,5/25/2002
12215,5/26/2002
13441,5/27/2002
16290,5/28/2002
16774,5/29/2002
17431,5/30/2002
17078,5/31/2002
14848,6/1/2002
13301,6/2/2002
15529,6/3/2002
15531,6/4/2002
16728,6/5/2002
16078,6/6/2002
14691,6/7/2002
12967,6/8/2002
13940,6/9/2002
16761,6/10/2002
18808,6/11/2002
16638,6/12/2002
15466,6/13/2002
15071,6/14/2002
13356,6/15/2002
13103,6/16/2002
16169,6/17/2002
16616,6/18/2002
16973,6/19/2002
17566,6/20/2002
18159,6/21/2002
15922,6/22/2002
16438,6/23/2002
19306,6/24/2002
18628,6/25/2002
21367,6/26/2002
22086,6/27/2002
19812,6/28/2002
16964,6/29/2002
17200,6/30/2002
21743,7/1/2002
23649,7/2/2002
24109,7/3/2002
21173,7/4/2002
17220,7/5/2002
15156,7/6/2002
15169,7/7/2002
21098,7/8/2002
21359,7/9/2002
17842,7/10/2002
16368,7/11/2002
16905,7/12/2002
16112,7/13/2002
16852,7/14/2002
20997,7/15/2002
18253,7/16/2002
19679,7/17/2002
22749,7/18/2002
19376,7/19/2002
15825,7/20/2002
16678,7/21/2002
22218,7/22/2002
21374,7/23/2002
17311,7/24/2002
17023,7/25/2002
15713,7/26/2002
14260,7/27/2002
15559,7/28/2002
23431,7/29/2002
23819,7/30/2002
23488,7/31/2002
23167,8/1/2002
20383,8/2/2002
20008,8/3/2002
20222,8/4/2002
23496,8/5/2002
17149,8/6/2002
17356,8/7/2002
17480,8/8/2002
17604,8/9/2002
17285,8/10/2002
19111,8/11/2002
23438,8/12/2002
24153,8/13/2002
24605,8/14/2002
23979,8/15/2002
23263,8/16/2002
21206,8/17/2002
21452,8/18/2002
22873,8/19/2002
18760,8/20/2002
18769,8/21/2002
18625,8/22/2002
16835,8/23/2002
13953,8/24/2002
15003,8/25/2002
18318,8/26/2002
18440,8/27/2002
16646,8/28/2002
16411,8/29/2002
15940,8/30/2002
13318,8/31/2002
12724,9/1/2002
14208,9/2/2002
17532,9/3/2002
19044,9/4/2002
17080,9/5/2002
16465,9/6/2002
15248,9/7/2002
16815,9/8/2002
22202,9/9/2002
21748,9/10/2002
16138,9/11/2002
15797,9/12/2002
16269,9/13/2002
15193,9/14/2002
16298,9/15/2002
18105,9/16/2002
17198,9/17/2002
16821,9/18/2002
17141,9/19/2002
16954,9/20/2002
16331,9/21/2002
16637,9/22/2002
17876,9/23/2002
16467,9/24/2002
16105,9/25/2002
15947,9/26/2002
15833,9/27/2002
13734,9/28/2002
13338,9/29/2002
16011,9/30/2002
17108,10/1/2002
18794,10/2/2002
16438,10/3/2002
15764,10/4/2002
14852,10/5/2002
13340,10/6/2002
16224,10/7/2002
15359,10/8/2002
15591,10/9/2002
15652,10/10/2002
15582,10/11/2002
13919,10/12/2002
13891,10/13/2002
14913,10/14/2002
15698,10/15/2002
17026,10/16/2002
15499,10/17/2002
14842,10/18/2002
14450,10/19/2002
13564,10/20/2002
15806,10/21/2002
15957,10/22/2002
16234,10/23/2002
15997,10/24/2002
15360,10/25/2002
14779,10/26/2002
15362,10/27/2002
17688,10/28/2002
18032,10/29/2002
18052,10/30/2002
17346,10/31/2002
17259,11/1/2002
16436,11/2/2002
16547,11/3/2002
18416,11/4/2002
17973,11/5/2002
18223,11/6/2002
18444,11/7/2002
17072,11/8/2002
15455,11/9/2002
15450,11/10/2002
17733,11/11/2002
17793,11/12/2002
17899,11/13/2002
17455,11/14/2002
16786,11/15/2002
16742,11/16/2002
16769,11/17/2002
18749,11/18/2002
18430,11/19/2002
17758,11/20/2002
18056,11/21/2002
17430,11/22/2002
16606,11/23/2002
16470,11/24/2002
18192,11/25/2002
18041,11/26/2002
18763,11/27/2002
14632,11/28/2002
