Tree species,Seedcount,Seedweight,Seedcountlog,Seedweightlog
Paper birch,27239,0.6,4.43519116,-0.22184875
Yellow birch,12158,1.6,4.084862139,0.204119983
White spruce,7202,2,3.857453117,0.301029996
Engelmann spruce,3671,3.3,3.564784385,0.51851394
Red spruce,5051,3.4,3.703377369,0.531478917
Tulip tree,13509,9.1,4.130623202,0.959041392
Ponderosa pine,2667,37.7,3.426023016,1.57634135
White fir,5196,40,3.715669142,1.602059991
Sugar maple,1751,48,3.243286146,1.681241237
Sugar pine,1159,216,3.064083436,2.334453751
American beech,463,247,2.665580991,2.392696953
American beech,1892,247,3.276921132,2.392696953
Black oak,93,1851,1.968482949,3.267406419
Scarlet oak,525,1930,2.720159303,3.285557309
Red oak,411,2475,2.613841822,3.393575203
Red oak,253,2475,2.403120521,3.393575203
Pignut hickory,40,3423,1.602059991,3.534406899
White oak,184,3669,2.264817823,3.564547712
Chestnut oak,107,4535,2.029383778,3.656577291
