Transgenic,Commercial
38.8,36.7
39.0,37.1
39.7,38.9
40.0,39.5
40.8,39.5
40.9,39.8
41.0,40.0
41.0,40.2
41.0,40.3
42.5,40.5
42.6,40.5
43.0,40.7
43.0,41.1
43.4,41.2
43.5,41.5
43.5,41.5
43.8,41.6
44.4,41.6
44.7,41.7
44.7,42.4
44.7,43.1
45.3,43.3
45.7,43.3
45.8,43.4
46.4,43.7
46.5,44.1
46.6,44.2
46.7,45.2
46.7,45.3
46.8,45.4
46.9,46.0
47.1,46.1
47.1,46.4
47.1,46.6
47.3,46.6
47.6,46.9
47.7,47.3
48.1,47.5
48.3,48.1
49.3,48.2
49.3,48.4
49.8,48.6
50.3,49.0
50.9,49.1
52.1,49.3
,49.6
,50.1
,50.2
,50.4
,50.6
,52.2
,53.0
,55.5
,56.4
