Age,Permeability,Prediction,Residual,Residual2
29,0.53,0.8770,-0.3470,0.1204
28,0.81,0.8679,-0.0579,0.0034
30,0.83,0.8861,-0.0561,0.0031
75,0.88,1.2950,-0.4150,0.1722
76,0.98,1.3041,-0.3241,0.1050
59,1.12,1.1496,-0.0296,0.0009
55,1.09,1.1132,-0.0232,0.0005
47,1.08,1.0405,0.0395,0.0016
23,1.02,0.8224,0.1976,0.0390
58,1.04,1.1405,-0.1005,0.0101
40,1.05,0.9769,0.0731,0.0053
75,1.20,1.2950,-0.0950,0.0090
65,1.85,1.2041,0.6459,0.4172
75,1.28,1.2950,-0.0150,0.0002
61,1.32,1.1678,0.1522,0.0232
80,1.36,1.3404,0.0196,0.0004
72,1.39,1.2677,0.1223,0.0149
84,1.40,1.3768,0.0232,0.0005
66,1.43,1.2132,0.2168,0.0470
91,1.43,1.4404,-0.0104,0.0001
80,1.48,1.3404,0.1396,0.0195
90,1.51,1.4313,0.0787,0.0062
78,1.19,1.3223,-0.1323,0.0175
78,1.22,1.3223,-0.1023,0.0105
