Actual,3D,2D
13.04,5.136699,47.907
11.71,4.795151,41.458
17.42,6.453115,60.891
7.23,2.895239,29.949
10.03,3.672746,41.616
15.59,5.72888,48.07
9.94,3.987582,34.717
7.53,2.678423,27.23
12.73,5.481545,52.712
12.66,5.016762,41.5
10.53,3.942783,31.216
10.84,4.052638,41.852
13.12,5.334558,44.608
8.48,3.527926,35.343
14.24,5.679636,47.481
11.11,4.013992,40.976
15.35,5.565995,65.361
15.44,6.303198,50.91
5.67,1.928109,22.895
8.26,3.450164,34.804
10.95,4.707532,37.156
7.97,3.019077,29.07
7.34,2.76816,24.59
13.21,4.945743,48.082
7.83,3.138463,32.118
11.38,4.410797,45.112
11.22,4.558251,37.02
9.25,3.449867,39.333
13.75,5.609681,51.351
14.37,5.292105,53.281
